date,monsta usd,monsta bnb,cake price,bnb price,circ. supply,burned tokens,burned %,vault syrup bars,vault usd,vault bnb,liquidity usd,liquidity bnb,trades,trade volume usd,trade volume bnb
2021-06-20,0.00093977227696302,0.0000028080,15.452530463376299,334.72986923144487,9753877337.85,246122662.14999962,2.46,0.00,0.0,0.0,312393.34505763056,933.27,6911,3183064.039029138,9509.351664187003
2021-06-21,0.000911019355627534,0.0000026839,15.973092374466624,339.5272153365728,9664615245.79,335384754.2099991,3.35,0.00,0.0,0.0,318734.56866936106,938.76,2059,895673.5475349224,2638.002219194837
2021-06-22,0.00049105871990022,0.0000018097,12.098521647109239,271.3177058067557,9628876002.51,371123997.4899998,3.71,0.00,0.0,0.0,210900.6790777074,777.32,1138,503725.71176526014,1856.589898058608
2021-06-23,0.000510189795690236,0.0000019550,11.953931621987461,260.9810064210772,9603392125.87,396607874.12999916,3.97,0.00,0.0,0.0,212133.1914492442,812.83,1042,390793.34044384415,1497.4014615198569
2021-06-24,0.000522441376947652,0.0000017629,13.579751961205663,296.3138694179518,9584082640.19,415917359.80999947,4.16,0.00,0.0,0.0,229741.0323758206,775.33,777,213922.44134293168,721.9454214652142
2021-06-25,0.000382145871629115,0.0000012427,13.783793519800497,307.68036636596224,9571561990.69,428438009.30999947,4.28,0.00,0.0,0.0,200755.2854464631,652.48,652,185924.05432498918,604.2766281155773
2021-06-26,0.000347986750448966,0.0000012353,12.220988816270445,281.72814911608464,9557763004.32,442236995.6800003,4.42,0.00,0.0,0.0,183250.07459255727,650.45,483,106057.04612030524,376.45171933673186
2021-06-27,0.00035218633922675,0.0000012632,12.224269321983375,278.86084377096597,9549468962.65,450531037.3500004,4.51,0.00,0.0,0.0,183713.52387631236,658.8,521,231807.64698544593,831.2663902567626
2021-06-28,0.000634683498791665,0.0000021857,13.04028327040224,290.321491065056,9537285875.23,462714124.77000046,4.63,0.00,0.0,0.0,252245.82751187394,868.85,544,198587.60261572557,684.0265317155785
2021-06-29,0.000484326903294247,0.0000016724,13.300238096008462,289.51915256689574,9526335629.12,473664370.87999916,4.74,0.00,0.0,0.0,220561.48080851254,761.82,373,110582.72819097244,381.9530666988306
2021-06-30,0.000654108695781025,0.0000021789,13.758478026398835,300.3047052656109,9521495069.28,478504930.7199993,4.79,0.00,0.0,0.0,261430.26116897754,870.55,416,125428.19892752517,417.6697758251491
2021-07-01,0.000601078740249855,0.0000019795,13.846715560997092,303.3956114780201,9514804994.30,485195005.70000076,4.85,0.00,0.0,0.0,252112.6512698903,830.97,538,146767.089845565,483.74822935168845
2021-07-02,0.000490746969568849,0.0000017039,12.840770499809196,287.8538931429057,9506947624.92,493052375.0799999,4.93,0.00,0.0,0.0,222277.8977460204,772.19,574,228549.55593050743,793.9776441274097
2021-07-03,0.000618612951331875,0.0000021564,13.005056880018484,286.8187612925259,9497170698.40,502829301.6000004,5.03,0.00,0.0,0.0,249767.5137087574,870.82,661,139003.7390061837,484.639632288259
2021-07-04,0.000759326800618094,0.0000025503,13.56063659338305,297.70620710821885,9491718506.44,508281493.55999947,5.08,0.00,0.0,0.0,282335.63563522155,948.37,1285,463405.30759698414,1556.585978163808
